id,department_id,date,bed_occupancy,alos,patient_throughput,staff_utilization,equipment_utilization,waiting_time
1,1,2025-10-01,82.4,4.5,358,76.3,77.5,22.9
2,1,2025-11-01,82.6,4.3,394,73.7,83.8,22.9
3,1,2025-12-01,84.6,4.4,408,81.0,86.5,22.0
4,1,2026-01-01,78.2,4.5,365,81.5,85.2,21.7
5,1,2026-02-01,82.2,4.5,391,77.2,82.8,20.5
6,1,2026-03-01,81.7,4.8,389,79.8,82.7,23.5
7,1,2026-04-01,84.9,4.8,354,76.3,83.5,23.1
8,1,2026-05-01,85.1,4.2,357,79.2,85.8,24.2
9,1,2026-06-01,84.0,4.5,376,79.3,85.2,21.8
10,1,2026-07-01,83.6,4.8,338,80.8,78.7,21.4
11,1,2026-08-01,79.1,4.5,383,80.7,77.3,20.1
12,1,2026-09-01,85.0,4.6,384,81.9,77.0,21.8
13,2,2025-10-01,60.5,5.6,185,67.4,57.0,29.0
14,2,2025-11-01,59.6,5.7,205,65.7,55.1,27.6
15,2,2025-12-01,59.8,6.1,211,64.1,53.9,26.5
16,2,2026-01-01,61.5,5.9,213,63.4,57.6,28.9
17,2,2026-02-01,59.4,5.9,215,66.9,50.6,28.6
18,2,2026-03-01,60.4,6.2,213,67.3,54.8,27.2
19,2,2026-04-01,61.0,5.9,204,66.7,55.2,29.9
20,2,2026-05-01,60.6,6.2,214,63.5,53.6,28.4
21,2,2026-06-01,60.9,5.4,214,66.9,51.5,25.9
22,2,2026-07-01,59.4,6.2,200,68.2,56.5,26.6
23,2,2026-08-01,60.8,5.8,219,66.9,52.8,25.8
24,2,2026-09-01,61.3,5.5,234,67.8,55.7,30.7
25,3,2025-10-01,73.3,5.3,177,73.5,62.4,26.2
26,3,2025-11-01,69.7,5.2,194,71.7,70.0,28.3
27,3,2025-12-01,67.3,4.9,186,74.3,67.6,28.2
28,3,2026-01-01,68.0,4.7,188,74.5,65.1,25.5
29,3,2026-02-01,67.5,5.5,184,70.9,63.2,28.0
30,3,2026-03-01,67.4,5.1,204,73.1,71.2,25.6
31,3,2026-04-01,71.7,4.8,178,67.6,66.9,25.5
32,3,2026-05-01,73.2,4.7,186,70.5,71.2,27.8
33,3,2026-06-01,67.2,5.3,200,75.1,65.7,25.5
34,3,2026-07-01,67.8,4.8,189,70.6,68.5,26.7
35,3,2026-08-01,70.7,4.7,197,68.8,63.5,26.3
36,3,2026-09-01,67.0,5.3,191,68.6,70.5,25.1
37,4,2025-10-01,73.3,4.0,459,75.1,64.6,23.1
38,4,2025-11-01,74.1,3.6,531,67.9,63.4,26.4
39,4,2025-12-01,74.0,3.7,521,68.1,70.3,25.1
40,4,2026-01-01,77.9,3.8,513,72.1,64.3,25.0
41,4,2026-02-01,79.4,3.5,540,75.2,68.2,24.8
42,4,2026-03-01,79.5,3.5,544,71.1,69.8,25.0
43,4,2026-04-01,79.1,3.5,465,72.9,63.9,23.9
44,4,2026-05-01,77.0,3.8,507,76.3,68.3,24.8
45,4,2026-06-01,76.8,3.6,561,75.0,69.4,26.3
46,4,2026-07-01,77.7,3.6,490,69.7,66.5,24.8
47,4,2026-08-01,75.4,3.6,514,73.4,66.8,23.3
48,4,2026-09-01,79.2,3.5,571,68.5,64.2,26.2
49,5,2025-10-01,76.3,4.2,298,76.6,69.3,27.7
50,5,2025-11-01,72.9,4.3,320,79.4,73.2,32.8
51,5,2025-12-01,74.7,4.1,329,73.4,72.6,28.3
52,5,2026-01-01,71.1,4.4,289,78.4,71.7,31.8
53,5,2026-02-01,76.6,4.5,323,77.0,72.4,27.2
54,5,2026-03-01,77.2,4.4,314,73.1,73.0,28.9
55,5,2026-04-01,72.8,3.9,309,76.6,70.0,27.9
56,5,2026-05-01,75.0,3.9,320,73.4,70.2,29.0
57,5,2026-06-01,73.0,4.3,338,76.6,66.9,27.3
58,5,2026-07-01,71.5,4.3,301,73.9,72.6,29.9
59,5,2026-08-01,73.6,4.0,321,72.5,70.3,28.7
60,5,2026-09-01,75.3,4.2,333,71.9,70.0,30.6
61,6,2025-10-01,55.1,3.1,255,65.0,59.9,19.3
62,6,2025-11-01,55.1,3.3,267,67.0,63.8,20.0
63,6,2025-12-01,59.9,3.4,276,71.0,58.0,18.1
64,6,2026-01-01,60.4,3.4,268,68.6,63.8,19.7
65,6,2026-02-01,55.8,3.0,273,70.5,63.0,21.3
66,6,2026-03-01,60.4,3.0,308,65.9,62.8,20.1
67,6,2026-04-01,57.4,3.1,260,66.6,59.1,20.0
68,6,2026-05-01,55.8,3.2,295,66.8,64.0,21.3
69,6,2026-06-01,59.8,3.1,279,65.5,62.9,21.0
70,6,2026-07-01,58.9,3.0,276,68.0,64.2,21.0
71,6,2026-08-01,57.7,3.4,282,69.1,63.1,21.5
72,6,2026-09-01,58.7,3.0,276,67.5,60.3,19.1
73,7,2025-10-01,84.1,1.8,850,84.5,67.5,40.5
74,7,2025-11-01,84.6,1.9,965,86.2,72.1,38.2
75,7,2025-12-01,89.2,1.9,1019,84.5,75.1,40.1
76,7,2026-01-01,87.5,1.8,831,80.5,68.0,42.5
77,7,2026-02-01,88.0,1.9,920,81.7,69.5,39.3
78,7,2026-03-01,89.2,1.8,919,83.7,69.8,39.5
79,7,2026-04-01,88.7,1.8,909,86.5,67.6,37.4
80,7,2026-05-01,92.1,1.7,948,86.6,76.1,44.3
81,7,2026-06-01,89.3,1.8,917,83.5,76.7,43.3
82,7,2026-07-01,90.2,1.8,927,83.1,70.8,44.6
83,7,2026-08-01,94.4,1.8,962,87.4,73.9,42.8
84,7,2026-09-01,93.2,1.8,947,83.6,68.8,40.6
85,8,2025-10-01,95.1,7.2,77,84.2,74.3,12.8
86,8,2025-11-01,87.4,7.5,88,92.1,73.9,11.6
87,8,2025-12-01,93.4,6.8,87,84.4,82.7,12.7
88,8,2026-01-01,93.8,6.8,80,87.1,81.0,11.4
89,8,2026-02-01,90.5,7.0,87,87.5,79.4,11.5
90,8,2026-03-01,93.8,7.2,93,86.6,83.9,13.2
91,8,2026-04-01,90.7,6.9,79,88.3,84.2,12.8
92,8,2026-05-01,93.7,6.8,82,89.5,83.1,12.1
93,8,2026-06-01,87.4,7.6,93,85.7,81.9,11.5
94,8,2026-07-01,94.7,6.8,80,92.7,75.9,11.9
95,8,2026-08-01,89.6,6.7,79,88.0,76.1,13.2
96,8,2026-09-01,89.9,6.7,94,91.6,80.7,12.7
