Department,Date,Revenue,Expense,PatientVolume,BedOccupancy,ALOS,PatientSatisfaction,ReadmissionRate
Cardiology,01-10-2025,1775992.1,746586.33,358,82.4,4.5,87.3,3.8
Cardiology,01-10-2025,571456.02,323595.19,358,82.4,4.5,87.3,3.8
Cardiology,01-10-2025,571456.02,298878.95,358,82.4,4.5,87.3,3.8
Cardiology,01-10-2025,571456.02,162386.23,358,82.4,4.5,87.3,3.8
Cardiology,01-10-2025,571456.02,117108.49,358,82.4,4.5,87.3,3.8
Cardiology,01-11-2025,1747265.51,786952.31,394,82.6,4.3,83.1,4.4
Cardiology,01-11-2025,572139.12,343858.72,394,82.6,4.3,83.1,4.4
Cardiology,01-11-2025,572139.12,343916.51,394,82.6,4.3,83.1,4.4
Cardiology,01-11-2025,572139.12,182817.71,394,82.6,4.3,83.1,4.4
Cardiology,01-11-2025,572139.12,127194.24,394,82.6,4.3,83.1,4.4
Cardiology,01-12-2025,1743646.98,785114.34,408,84.6,4.4,86.2,4.5
Cardiology,01-12-2025,550283.77,397687.67,408,84.6,4.4,86.2,4.5
Cardiology,01-12-2025,550283.77,339356.6,408,84.6,4.4,86.2,4.5
Cardiology,01-12-2025,550283.77,186081.13,408,84.6,4.4,86.2,4.5
Cardiology,01-12-2025,550283.77,132893.43,408,84.6,4.4,86.2,4.5
Cardiology,01-01-2026,1740583.48,799143.43,365,78.2,4.5,85.4,4
Cardiology,01-01-2026,593212,360307.59,365,78.2,4.5,85.4,4
Cardiology,01-01-2026,593212,321726,365,78.2,4.5,85.4,4
Cardiology,01-01-2026,593212,177050.86,365,78.2,4.5,85.4,4
Cardiology,01-01-2026,593212,139153.19,365,78.2,4.5,85.4,4
Cardiology,01-02-2026,1907398.22,827695.61,391,82.2,4.5,86.7,4.2
Cardiology,01-02-2026,599895.36,382745.36,391,82.2,4.5,86.7,4.2
Cardiology,01-02-2026,599895.36,320917.25,391,82.2,4.5,86.7,4.2
Cardiology,01-02-2026,599895.36,172717.46,391,82.2,4.5,86.7,4.2
Cardiology,01-02-2026,599895.36,120535.33,391,82.2,4.5,86.7,4.2
Cardiology,01-03-2026,2063046.61,817533.33,389,81.7,4.8,85.5,4.2
Cardiology,01-03-2026,586337.58,352726.02,389,81.7,4.8,85.5,4.2
Cardiology,01-03-2026,586337.58,308157.07,389,81.7,4.8,85.5,4.2
Cardiology,01-03-2026,586337.58,193517.4,389,81.7,4.8,85.5,4.2
Cardiology,01-03-2026,586337.58,125664.97,389,81.7,4.8,85.5,4.2
Cardiology,01-04-2026,1879491.84,745169.9,354,84.9,4.8,83.1,3.9
Cardiology,01-04-2026,563392.43,369757.49,354,84.9,4.8,83.1,3.9
Cardiology,01-04-2026,563392.43,313964.73,354,84.9,4.8,83.1,3.9
Cardiology,01-04-2026,563392.43,164289.92,354,84.9,4.8,83.1,3.9
Cardiology,01-04-2026,563392.43,121295.42,354,84.9,4.8,83.1,3.9
Cardiology,01-05-2026,2171223.91,891581.1,357,85.1,4.2,89.4,3.8
Cardiology,01-05-2026,621499.23,339682.76,357,85.1,4.2,89.4,3.8
Cardiology,01-05-2026,621499.23,343348.07,357,85.1,4.2,89.4,3.8
Cardiology,01-05-2026,621499.23,189598.92,357,85.1,4.2,89.4,3.8
Cardiology,01-05-2026,621499.23,129732.51,357,85.1,4.2,89.4,3.8
Cardiology,01-06-2026,1868894.06,786855.9,376,84,4.5,89.3,4.1
Cardiology,01-06-2026,582942.47,370128.48,376,84,4.5,89.3,4.1
Cardiology,01-06-2026,582942.47,359968.62,376,84,4.5,89.3,4.1
Cardiology,01-06-2026,582942.47,197656.84,376,84,4.5,89.3,4.1
Cardiology,01-06-2026,582942.47,125570.44,376,84,4.5,89.3,4.1
Cardiology,01-07-2026,2105904.76,864267.45,338,83.6,4.8,87.6,3.7
Cardiology,01-07-2026,601669.88,348709.52,338,83.6,4.8,87.6,3.7
Cardiology,01-07-2026,601669.88,331506.5,338,83.6,4.8,87.6,3.7
Cardiology,01-07-2026,601669.88,183306.08,338,83.6,4.8,87.6,3.7
Cardiology,01-07-2026,601669.88,119110.24,338,83.6,4.8,87.6,3.7
Cardiology,01-08-2026,2035446.22,874585.29,383,79.1,4.5,82.9,4.5
Cardiology,01-08-2026,622367.6,342380.38,383,79.1,4.5,82.9,4.5
Cardiology,01-08-2026,622367.6,325481.48,383,79.1,4.5,82.9,4.5
Cardiology,01-08-2026,622367.6,171752.97,383,79.1,4.5,82.9,4.5
Cardiology,01-08-2026,622367.6,139182.21,383,79.1,4.5,82.9,4.5
Cardiology,01-09-2026,1872643.82,832880.55,384,85,4.6,85.8,4.5
Cardiology,01-09-2026,634450.52,405031.59,384,85,4.6,85.8,4.5
Cardiology,01-09-2026,634450.52,368319.99,384,85,4.6,85.8,4.5
Cardiology,01-09-2026,634450.52,178305.71,384,85,4.6,85.8,4.5
Cardiology,01-09-2026,634450.52,133376.48,384,85,4.6,85.8,4.5
Emergency,01-10-2025,1205167.97,779137.76,850,84.1,1.8,69.5,7.5
Emergency,01-10-2025,389345.55,322056.95,850,84.1,1.8,69.5,7.5
Emergency,01-10-2025,389345.55,283536.5,850,84.1,1.8,69.5,7.5
Emergency,01-10-2025,389345.55,159450.24,850,84.1,1.8,69.5,7.5
Emergency,01-10-2025,389345.55,110243.51,850,84.1,1.8,69.5,7.5
Emergency,01-11-2025,1169920.22,750600.41,965,84.6,1.9,72.1,6.3
Emergency,01-11-2025,382506.92,350408.98,965,84.6,1.9,72.1,6.3
Emergency,01-11-2025,382506.92,327528.46,965,84.6,1.9,72.1,6.3
Emergency,01-11-2025,382506.92,189043.02,965,84.6,1.9,72.1,6.3
Emergency,01-11-2025,382506.92,123438.67,965,84.6,1.9,72.1,6.3
Emergency,01-12-2025,1146665.78,721313.52,1019,89.2,1.9,71.2,6.3
Emergency,01-12-2025,373987.82,319792.27,1019,89.2,1.9,71.2,6.3
Emergency,01-12-2025,373987.82,279789.77,1019,89.2,1.9,71.2,6.3
Emergency,01-12-2025,373987.82,169460.97,1019,89.2,1.9,71.2,6.3
