Department,Date,ExpenseCategory,Revenue,Expense,Profit,PatientVolume,BedOccupancy,ALOS,PatientSatisfaction,ReadmissionRate
Cardiology,2025-10-01,equipment,571456.02,323595.19,247860.83,358,82.4,4.5,87.3,3.8
Cardiology,2025-10-01,maintenance,571456.02,117108.49,454347.53,358,82.4,4.5,87.3,3.8
Cardiology,2025-10-01,salaries,1775992.1,746586.33,1029405.77,358,82.4,4.5,87.3,3.8
Cardiology,2025-10-01,supplies,571456.02,298878.95,272577.07,358,82.4,4.5,87.3,3.8
Cardiology,2025-10-01,utilities,571456.02,162386.23,409069.79,358,82.4,4.5,87.3,3.8
Cardiology,2025-11-01,equipment,572139.12,343858.72,228280.4,394,82.6,4.3,83.1,4.4
Cardiology,2025-11-01,maintenance,572139.12,127194.24,444944.88,394,82.6,4.3,83.1,4.4
Cardiology,2025-11-01,salaries,1747265.51,786952.31,960313.2,394,82.6,4.3,83.1,4.4
Cardiology,2025-11-01,supplies,572139.12,343916.51,228222.61,394,82.6,4.3,83.1,4.4
Cardiology,2025-11-01,utilities,572139.12,182817.71,389321.41,394,82.6,4.3,83.1,4.4
Cardiology,2025-12-01,equipment,550283.77,397687.67,152596.1,408,84.6,4.4,86.2,4.5
Cardiology,2025-12-01,maintenance,550283.77,132893.43,417390.34,408,84.6,4.4,86.2,4.5
Cardiology,2025-12-01,salaries,1743646.98,785114.34,958532.64,408,84.6,4.4,86.2,4.5
Cardiology,2025-12-01,supplies,550283.77,339356.6,210927.17,408,84.6,4.4,86.2,4.5
Cardiology,2025-12-01,utilities,550283.77,186081.13,364202.64,408,84.6,4.4,86.2,4.5
Cardiology,2026-01-01,equipment,593212.0,360307.59,232904.41,365,78.2,4.5,85.4,4.0
Cardiology,2026-01-01,maintenance,593212.0,139153.19,454058.81,365,78.2,4.5,85.4,4.0
Cardiology,2026-01-01,salaries,1740583.48,799143.43,941440.05,365,78.2,4.5,85.4,4.0
Cardiology,2026-01-01,supplies,593212.0,321726.0,271486.0,365,78.2,4.5,85.4,4.0
Cardiology,2026-01-01,utilities,593212.0,177050.86,416161.14,365,78.2,4.5,85.4,4.0
Cardiology,2026-02-01,equipment,599895.36,382745.36,217150.0,391,82.2,4.5,86.7,4.2
Cardiology,2026-02-01,maintenance,599895.36,120535.33,479360.03,391,82.2,4.5,86.7,4.2
Cardiology,2026-02-01,salaries,1907398.22,827695.61,1079702.61,391,82.2,4.5,86.7,4.2
Cardiology,2026-02-01,supplies,599895.36,320917.25,278978.11,391,82.2,4.5,86.7,4.2
Cardiology,2026-02-01,utilities,599895.36,172717.46,427177.9,391,82.2,4.5,86.7,4.2
Cardiology,2026-03-01,equipment,586337.58,352726.02,233611.56,389,81.7,4.8,85.5,4.2
Cardiology,2026-03-01,maintenance,586337.58,125664.97,460672.61,389,81.7,4.8,85.5,4.2
Cardiology,2026-03-01,salaries,2063046.61,817533.33,1245513.28,389,81.7,4.8,85.5,4.2
Cardiology,2026-03-01,supplies,586337.58,308157.07,278180.51,389,81.7,4.8,85.5,4.2
Cardiology,2026-03-01,utilities,586337.58,193517.4,392820.18,389,81.7,4.8,85.5,4.2
Cardiology,2026-04-01,equipment,563392.43,369757.49,193634.94,354,84.9,4.8,83.1,3.9
Cardiology,2026-04-01,maintenance,563392.43,121295.42,442097.01,354,84.9,4.8,83.1,3.9
Cardiology,2026-04-01,salaries,1879491.84,745169.9,1134321.94,354,84.9,4.8,83.1,3.9
Cardiology,2026-04-01,supplies,563392.43,313964.73,249427.7,354,84.9,4.8,83.1,3.9
Cardiology,2026-04-01,utilities,563392.43,164289.92,399102.51,354,84.9,4.8,83.1,3.9
Cardiology,2026-05-01,equipment,621499.23,339682.76,281816.47,357,85.1,4.2,89.4,3.8
Cardiology,2026-05-01,maintenance,621499.23,129732.51,491766.72,357,85.1,4.2,89.4,3.8
Cardiology,2026-05-01,salaries,2171223.91,891581.1,1279642.81,357,85.1,4.2,89.4,3.8
Cardiology,2026-05-01,supplies,621499.23,343348.07,278151.16,357,85.1,4.2,89.4,3.8
Cardiology,2026-05-01,utilities,621499.23,189598.92,431900.31,357,85.1,4.2,89.4,3.8
Cardiology,2026-06-01,equipment,582942.47,370128.48,212813.99,376,84.0,4.5,89.3,4.1
Cardiology,2026-06-01,maintenance,582942.47,125570.44,457372.03,376,84.0,4.5,89.3,4.1
Cardiology,2026-06-01,salaries,1868894.06,786855.9,1082038.16,376,84.0,4.5,89.3,4.1
Cardiology,2026-06-01,supplies,582942.47,359968.62,222973.85,376,84.0,4.5,89.3,4.1
Cardiology,2026-06-01,utilities,582942.47,197656.84,385285.63,376,84.0,4.5,89.3,4.1
Cardiology,2026-07-01,equipment,601669.88,348709.52,252960.36,338,83.6,4.8,87.6,3.7
Cardiology,2026-07-01,maintenance,601669.88,119110.24,482559.64,338,83.6,4.8,87.6,3.7
Cardiology,2026-07-01,salaries,2105904.76,864267.45,1241637.31,338,83.6,4.8,87.6,3.7
Cardiology,2026-07-01,supplies,601669.88,331506.5,270163.38,338,83.6,4.8,87.6,3.7
Cardiology,2026-07-01,utilities,601669.88,183306.08,418363.8,338,83.6,4.8,87.6,3.7
Cardiology,2026-08-01,equipment,622367.6,342380.38,279987.22,383,79.1,4.5,82.9,4.5
Cardiology,2026-08-01,maintenance,622367.6,139182.21,483185.39,383,79.1,4.5,82.9,4.5
Cardiology,2026-08-01,salaries,2035446.22,874585.29,1160860.93,383,79.1,4.5,82.9,4.5
Cardiology,2026-08-01,supplies,622367.6,325481.48,296886.12,383,79.1,4.5,82.9,4.5
Cardiology,2026-08-01,utilities,622367.6,171752.97,450614.63,383,79.1,4.5,82.9,4.5
Cardiology,2026-09-01,equipment,634450.52,405031.59,229418.93,384,85.0,4.6,85.8,4.5
Cardiology,2026-09-01,maintenance,634450.52,133376.48,501074.04,384,85.0,4.6,85.8,4.5
Cardiology,2026-09-01,salaries,1872643.82,832880.55,1039763.27,384,85.0,4.6,85.8,4.5
Cardiology,2026-09-01,supplies,634450.52,368319.99,266130.53,384,85.0,4.6,85.8,4.5
Cardiology,2026-09-01,utilities,634450.52,178305.71,456144.81,384,85.0,4.6,85.8,4.5
Emergency,2025-10-01,equipment,389345.55,322056.95,67288.6,850,84.1,1.8,69.5,7.5
Emergency,2025-10-01,maintenance,389345.55,110243.51,279102.04,850,84.1,1.8,69.5,7.5
Emergency,2025-10-01,salaries,1205167.97,779137.76,426030.21,850,84.1,1.8,69.5,7.5
Emergency,2025-10-01,supplies,389345.55,283536.5,105809.05,850,84.1,1.8,69.5,7.5
Emergency,2025-10-01,utilities,389345.55,159450.24,229895.31,850,84.1,1.8,69.5,7.5
Emergency,2025-11-01,equipment,382506.92,350408.98,32097.94,965,84.6,1.9,72.1,6.3
Emergency,2025-11-01,maintenance,382506.92,123438.67,259068.25,965,84.6,1.9,72.1,6.3
Emergency,2025-11-01,salaries,1169920.22,750600.41,419319.81,965,84.6,1.9,72.1,6.3
Emergency,2025-11-01,supplies,382506.92,327528.46,54978.46,965,84.6,1.9,72.1,6.3
Emergency,2025-11-01,utilities,382506.92,189043.02,193463.9,965,84.6,1.9,72.1,6.3
Emergency,2025-12-01,equipment,373987.82,319792.27,54195.55,1019,89.2,1.9,71.2,6.3
Emergency,2025-12-01,maintenance,373987.82,113718.11,260269.71,1019,89.2,1.9,71.2,6.3
Emergency,2025-12-01,salaries,1146665.78,721313.52,425352.26,1019,89.2,1.9,71.2,6.3
Emergency,2025-12-01,supplies,373987.82,279789.77,94198.05,1019,89.2,1.9,71.2,6.3
Emergency,2025-12-01,utilities,373987.82,169460.97,204526.85,1019,89.2,1.9,71.2,6.3
Emergency,2026-01-01,equipment,401616.17,374754.97,26861.2,831,87.5,1.8,72.6,7.2
Emergency,2026-01-01,maintenance,401616.17,125329.9,276286.27,831,87.5,1.8,72.6,7.2
Emergency,2026-01-01,salaries,1203940.33,821407.52,382532.81,831,87.5,1.8,72.6,7.2
Emergency,2026-01-01,supplies,401616.17,318037.71,83578.46,831,87.5,1.8,72.6,7.2
Emergency,2026-01-01,utilities,401616.17,187498.05,214118.12,831,87.5,1.8,72.6,7.2
Emergency,2026-02-01,equipment,383403.63,379964.34,3439.29,920,88.0,1.9,74.7,6.4
Emergency,2026-02-01,maintenance,383403.63,122247.73,261155.9,920,88.0,1.9,74.7,6.4
Emergency,2026-02-01,salaries,1129959.23,758235.93,371723.3,920,88.0,1.9,74.7,6.4
Emergency,2026-02-01,supplies,383403.63,318287.74,65115.89,920,88.0,1.9,74.7,6.4
Emergency,2026-02-01,utilities,383403.63,186604.83,196798.8,920,88.0,1.9,74.7,6.4
Emergency,2026-03-01,equipment,369305.19,368298.96,1006.23,919,89.2,1.8,70.9,6.5
Emergency,2026-03-01,maintenance,369305.19,119830.48,249474.71,919,89.2,1.8,70.9,6.5
Emergency,2026-03-01,salaries,1112793.49,761827.08,350966.41,919,89.2,1.8,70.9,6.5
Emergency,2026-03-01,supplies,369305.19,317869.5,51435.69,919,89.2,1.8,70.9,6.5
