Department,Date,Revenue,Expense,Profit,ROI,PatientVolume,BedOccupancy,ALOS,PatientSatisfaction,ReadmissionRate
Cardiology,2025-10-01,4061816.18,1648555.19,2413260.99,146.39,358,82.4,4.5,87.3,3.8
Cardiology,2025-11-01,4035821.99,1784739.49,2251082.5,126.13,394,82.6,4.3,83.1,4.4
Cardiology,2025-12-01,3944782.06,1841133.17,2103648.89,114.26,408,84.6,4.4,86.2,4.5
Cardiology,2026-01-01,4113431.48,1797381.07,2316050.41,128.86,365,78.2,4.5,85.4,4.0
Cardiology,2026-02-01,4306979.66,1824611.01,2482368.65,136.05,391,82.2,4.5,86.7,4.2
Cardiology,2026-03-01,4408396.93,1797598.79,2610798.14,145.24,389,81.7,4.8,85.5,4.2
Cardiology,2026-04-01,4133061.56,1714477.46,2418584.1,141.07,354,84.9,4.8,83.1,3.9
Cardiology,2026-05-01,4657220.83,1893943.36,2763277.47,145.9,357,85.1,4.2,89.4,3.8
Cardiology,2026-06-01,4200663.94,1840180.28,2360483.66,128.27,376,84.0,4.5,89.3,4.1
Cardiology,2026-07-01,4512584.28,1846899.79,2665684.49,144.33,338,83.6,4.8,87.6,3.7
Cardiology,2026-08-01,4524916.62,1853382.33,2671534.29,144.14,383,79.1,4.5,82.9,4.5
Cardiology,2026-09-01,4410445.9,1917914.32,2492531.58,129.96,384,85.0,4.6,85.8,4.5
Emergency,2025-10-01,2762550.17,1654424.96,1108125.21,66.98,850,84.1,1.8,69.5,7.5
Emergency,2025-11-01,2699947.9,1741019.54,958928.36,55.08,965,84.6,1.9,72.1,6.3
Emergency,2025-12-01,2642617.06,1604074.64,1038542.42,64.74,1019,89.2,1.9,71.2,6.3
Emergency,2026-01-01,2810405.01,1827028.15,983376.86,53.82,831,87.5,1.8,72.6,7.2
Emergency,2026-02-01,2663573.75,1765340.57,898233.18,50.88,920,88.0,1.9,74.7,6.4
Emergency,2026-03-01,2590014.25,1764550.33,825463.92,46.78,919,89.2,1.8,70.9,6.5
Emergency,2026-04-01,2805607.15,1884662.21,920944.94,48.87,909,88.7,1.8,69.8,7.5
Emergency,2026-05-01,2981366.02,1858159.44,1123206.58,60.45,948,92.1,1.7,74.6,6.6
Emergency,2026-06-01,2753657.94,1743131.21,1010526.73,57.97,917,89.3,1.8,71.1,6.5
Emergency,2026-07-01,2742496.16,1998701.03,743795.13,37.21,927,90.2,1.8,72.2,6.4
Emergency,2026-08-01,2896498.64,2004662.59,891836.05,44.49,962,94.4,1.8,72.5,7.1
Emergency,2026-09-01,2769902.96,1919210.58,850692.38,44.33,947,93.2,1.8,69.4,7.1
General Medicine,2025-10-01,3215061.08,1696416.44,1518644.64,89.52,459,73.3,4.0,80.7,5.7
General Medicine,2025-11-01,3057384.8,1626808.45,1430576.35,87.94,531,74.1,3.6,78.7,4.6
General Medicine,2025-12-01,3095357.34,1731804.11,1363553.23,78.74,521,74.0,3.7,79.9,4.9
General Medicine,2026-01-01,3269378.87,1624247.73,1645131.14,101.29,513,77.9,3.8,76.2,5.7
General Medicine,2026-02-01,3318952.49,1608876.58,1710075.91,106.29,540,79.4,3.5,80.3,4.7
General Medicine,2026-03-01,3155318.81,1702067.89,1453250.92,85.38,544,79.5,3.5,77.4,5.6
General Medicine,2026-04-01,3428596.41,1590346.62,1838249.79,115.59,465,79.1,3.5,79.2,5.2
General Medicine,2026-05-01,3224322.58,1618608.56,1605714.02,99.2,507,77.0,3.8,80.0,4.7
General Medicine,2026-06-01,3163923.26,1602162.72,1561760.54,97.48,561,76.8,3.6,81.1,5.2
General Medicine,2026-07-01,3410363.72,1606864.63,1803499.09,112.24,490,77.7,3.6,80.0,4.5
General Medicine,2026-08-01,3442714.57,1660274.42,1782440.15,107.36,514,75.4,3.6,79.8,5.0
General Medicine,2026-09-01,3118969.25,1707693.68,1411275.57,82.64,571,79.2,3.5,80.2,5.7
General Surgery,2025-10-01,3456176.94,1698338.0,1757838.94,103.5,298,76.3,4.2,79.9,4.0
General Surgery,2025-11-01,3377430.86,1781683.54,1595747.32,89.56,320,72.9,4.3,81.5,4.6
General Surgery,2025-12-01,3878678.4,1830811.47,2047866.93,111.86,329,74.7,4.1,80.4,5.0
General Surgery,2026-01-01,3887517.89,1764024.59,2123493.3,120.38,289,71.1,4.4,77.4,4.5
General Surgery,2026-02-01,3716675.52,1709003.06,2007672.46,117.48,323,76.6,4.5,82.3,4.4
General Surgery,2026-03-01,3798838.93,1647999.5,2150839.43,130.51,314,77.2,4.4,81.7,4.3
General Surgery,2026-04-01,3843256.95,1729811.24,2113445.71,122.18,309,72.8,3.9,76.9,4.5
General Surgery,2026-05-01,3796419.21,1716467.84,2079951.37,121.18,320,75.0,3.9,79.1,4.5
General Surgery,2026-06-01,3690962.13,1718966.95,1971995.18,114.72,338,73.0,4.3,79.8,4.5
General Surgery,2026-07-01,3624960.48,1707849.39,1917111.09,112.25,301,71.5,4.3,81.5,4.9
General Surgery,2026-08-01,3617245.48,1715793.77,1901451.71,110.82,321,73.6,4.0,78.0,4.4
General Surgery,2026-09-01,4050904.74,1762372.25,2288532.49,129.86,333,75.3,4.2,78.6,4.0
ICU,2025-10-01,4656129.19,2834081.28,1822047.91,64.29,77,95.1,7.2,71.1,8.9
ICU,2025-11-01,4503941.76,3189244.51,1314697.25,41.22,88,87.4,7.5,76.2,9.4
ICU,2025-12-01,4534113.65,3015713.2,1518400.45,50.35,87,93.4,6.8,74.9,7.9
ICU,2026-01-01,4633015.62,2876653.25,1756362.37,61.06,80,93.8,6.8,75.3,7.7
ICU,2026-02-01,4654861.52,3144556.0,1510305.52,48.03,87,90.5,7.0,72.1,9.3
ICU,2026-03-01,4780740.28,3089001.37,1691738.91,54.77,93,93.8,7.2,76.6,9.5
ICU,2026-04-01,4768218.94,3157651.89,1610567.05,51.01,79,90.7,6.9,74.4,9.4
ICU,2026-05-01,4510747.24,3143477.31,1367269.93,43.5,82,93.7,6.8,74.3,9.5
ICU,2026-06-01,4886138.22,3203753.29,1682384.93,52.51,93,87.4,7.6,72.2,9.4
ICU,2026-07-01,4629900.21,3296483.88,1333416.33,40.45,80,94.7,6.8,72.1,7.8
ICU,2026-08-01,5198983.62,3191713.44,2007270.18,62.89,79,89.6,6.7,72.1,9.1
ICU,2026-09-01,5017967.58,3064461.23,1953506.35,63.75,94,89.9,6.7,71.6,9.3
Neurology,2025-10-01,2541558.78,1303674.55,1237884.23,94.95,177,73.3,5.3,79.7,6.2
Neurology,2025-11-01,2712553.95,1306110.72,1406443.23,107.68,194,69.7,5.2,79.1,5.6
Neurology,2025-12-01,2755237.05,1273181.2,1482055.85,116.41,186,67.3,4.9,78.2,5.6
Neurology,2026-01-01,2654380.9,1289682.49,1364698.41,105.82,188,68.0,4.7,79.5,6.0
Neurology,2026-02-01,2899234.12,1349973.85,1549260.27,114.76,184,67.5,5.5,76.5,5.6
Neurology,2026-03-01,2648447.16,1324661.76,1323785.4,99.93,204,67.4,5.1,77.9,6.5
Neurology,2026-04-01,2719676.09,1336424.27,1383251.82,103.5,178,71.7,4.8,77.7,6.3
Neurology,2026-05-01,2788312.43,1277483.57,1510828.86,118.27,186,73.2,4.7,77.0,6.1
Neurology,2026-06-01,2837560.46,1286764.57,1550795.89,120.52,200,67.2,5.3,79.3,5.9
Neurology,2026-07-01,2780912.91,1331288.13,1449624.78,108.89,189,67.8,4.8,75.6,6.0
Neurology,2026-08-01,2826049.77,1349435.37,1476614.4,109.42,197,70.7,4.7,78.3,5.3
Neurology,2026-09-01,3024629.98,1448616.94,1576013.04,108.79,191,67.0,5.3,75.4,6.2
Orthopedics,2025-10-01,2813012.6,1562197.25,1250815.35,80.07,185,60.5,5.6,82.8,3.9
Orthopedics,2025-11-01,3073934.83,1467517.75,1606417.08,109.46,205,59.6,5.7,78.0,3.6
Orthopedics,2025-12-01,2925044.77,1457555.02,1467489.75,100.68,211,59.8,6.1,79.4,3.8
Orthopedics,2026-01-01,2988225.61,1499223.65,1489001.96,99.32,213,61.5,5.9,83.4,3.5
Orthopedics,2026-02-01,2930194.55,1538679.44,1391515.11,90.44,215,59.4,5.9,82.6,3.5
Orthopedics,2026-03-01,2855492.14,1537124.69,1318367.45,85.77,213,60.4,6.2,81.0,3.7
Orthopedics,2026-04-01,2874814.26,1533167.61,1341646.65,87.51,204,61.0,5.9,78.3,3.8
Orthopedics,2026-05-01,2983796.24,1588877.6,1394918.64,87.79,214,60.6,6.2,78.3,4.1
Orthopedics,2026-06-01,1645217.13,2183379.37,-538162.23,-24.65,214,60.9,5.4,82.2,3.6
Orthopedics,2026-07-01,1638071.18,2163790.25,-525719.06,-24.3,200,59.4,6.2,84.2,3.4
Orthopedics,2026-08-01,1587303.09,2135455.72,-548152.63,-25.67,219,60.8,5.8,81.9,4.2
Orthopedics,2026-09-01,1581847.53,2113700.32,-531852.79,-25.16,234,61.3,5.5,78.7,4.1
Pediatrics,2025-10-01,2187291.5,1014490.03,1172801.47,115.61,255,55.1,3.1,88.2,3.3
Pediatrics,2025-11-01,1969018.13,948021.35,1020996.78,107.7,267,55.1,3.3,86.9,3.1
Pediatrics,2025-12-01,1903497.97,1042864.48,860633.49,82.53,276,59.9,3.4,87.8,3.2
Pediatrics,2026-01-01,1990469.57,1053069.47,937400.1,89.02,268,60.4,3.4,87.8,3.2
Pediatrics,2026-02-01,1991123.6,1060733.0,930390.6,87.71,273,55.8,3.0,87.6,2.9
